path,title,category,lifecycle,review_date,tags,notes
Chat Transcript.md,Chat Transcript,30-product,longterm,2025-09-22,,
Complete Premium UI:UX Enhancement Analysis.md,Complete Premium UI:UX Enhancement Analysis,30-product,longterm,2025-09-22,,
Consistency-Testing-Validation-Framework.md,Consistency Testing & Validation Framework,30-product,longterm,2025-09-22,,
DATABASE_SCHEMA.md,Database Schema Documentation,30-product,longterm,2025-09-22,,
DOCUMENT_MANAGEMENT_DEPLOYMENT.md,Document Management System - Production Deployment Guide,30-product,longterm,2025-09-22,,
Design-Consistency-Analysis-2025.md,🎨 LegacyGuard Design Consistency Analysis & Synchronization Plan,30-product,longterm,2025-09-22,,
ENVIRONMENT.md,Environment Variables Guide,30-product,longterm,2025-09-22,,
EXTERNAL_SERVICES.md,External Services Configuration Guide,30-product,longterm,2025-09-22,,
Hollywood → Schwalbe Migration Plan.md,Hollywood → Schwalbe Migration Plan,90-archive,archive,,legacy,
IMPLEMENTATION_ROADMAP.md,LegacyGuard Implementation Roadmap,20-roadmaps,longterm,2025-09-22,roadmap,
PRODUCTION_READINESS_AUDIT.md,LegacyGuard/Schwalbe - Production Readiness Audit Report,30-product,longterm,2025-09-22,,
Premium-UI-UX-Enhancements-Todo-List.md,Premium UI-UX Enhancements To-Do List,30-product,longterm,2025-09-22,,
Premium-UX-Guidelines-2025.md,Premium User Experience Guidelines 2025,30-product,longterm,2025-09-22,,
README.md,LegacyGuard Documentation,30-product,longterm,2025-09-22,,
STRIPE_DOCUMENTATION_SUMMARY.md,Stripe Integration - Documentation Summary,40-platform,longterm,2025-09-22,"stripe,payments",
Status/01. Faza 1.1.md,01. Faza 1.1,60-status,status,2025-09-22,status,
Status/02. Faza 1.2.md,02. Faza 1.2,60-status,status,2025-09-22,status,
Status/03. Faza 1.3.md,03. Faza 1.3,60-status,status,2025-09-22,status,
Status/04. Faza 1.4.md,04. Faza 1.4,60-status,status,2025-09-22,status,
Status/05. Faza 1.5.md,05. Faza 1.5,60-status,status,2025-09-22,status,
Status/06. Faza 1.6.md,06. Faza 1.6,60-status,status,2025-09-22,status,
Status/07. Faza 2.1.md,07. Faza 2.1,60-status,status,2025-09-22,status,
Status/08. Faza 2.2.md,08. Faza 2.2,60-status,status,2025-09-22,status,
Status/09. Faza 2.3.md,09. Faza 2.3,60-status,status,2025-09-22,status,
Status/10. Faza 2.4.md,10. Faza 2.4,60-status,status,2025-09-22,status,
Status/11. Faza 2.5.md,11. Faza 2.5,60-status,status,2025-09-22,status,
Status/12. Faza 3.1.md,12. Faza 3.1,60-status,status,2025-09-22,status,
Status/13. Faza 3.2.md,13. Faza 3.2,60-status,status,2025-09-22,status,
Status/14. Faza 3.3.md,14. Faza 3.3,60-status,status,2025-09-22,status,
Status/15. Faza 3.4.md,15. Faza 3.4,60-status,status,2025-09-22,status,
Status/16. Faza 3.5.md,16. Faza 3.5,60-status,status,2025-09-22,status,
Will/JSON/bg.json,Will JSON: bg,30-product,longterm,2025-09-22,will,
Will/JSON/cs.json,Will JSON: cs,30-product,longterm,2025-09-22,will,
Will/JSON/cy.json,Will JSON: cy,30-product,longterm,2025-09-22,will,
Will/JSON/da.json,Will JSON: da,30-product,longterm,2025-09-22,will,
Will/JSON/de.json,Will JSON: de,30-product,longterm,2025-09-22,will,
Will/JSON/fr.json,Will JSON: fr,30-product,longterm,2025-09-22,will,
Will/JSON/sk.json,Will JSON: sk,30-product,longterm,2025-09-22,will,
Will/Markdown/BG.md,Will Markdown: BG,30-product,longterm,2025-09-22,will,
Will/Markdown/CS.md,Will Markdown: CS,30-product,longterm,2025-09-22,will,
Will/Markdown/CY.md,Will Markdown: CY,30-product,longterm,2025-09-22,will,
Will/Markdown/DA.md,Will Markdown: DA,30-product,longterm,2025-09-22,will,
Will/Markdown/DE.md,Will Markdown: DE,30-product,longterm,2025-09-22,will,
Will/Markdown/FR.md,Will Markdown: FR,30-product,longterm,2025-09-22,will,
Will/Markdown/SK.md,Will Markdown: SK,30-product,longterm,2025-09-22,will,
Will/Markdown/will_ceska.md,Will Markdown: will_ceska,30-product,longterm,2025-09-22,will,
Will/Markdown/will_slovenska.md,Will Markdown: will_slovenska,30-product,longterm,2025-09-22,will,
Will/Pre-Implementation Tasks.rtf,Pre-Implementation Tasks,30-product,longterm,2025-09-22,will,
Will/Word templates/BG.docx,Will Word: BG,30-product,longterm,2025-09-22,will,
Will/Word templates/CS.docx,Will Word: CS,30-product,longterm,2025-09-22,will,
Will/Word templates/CY.docx,Will Word: CY,30-product,longterm,2025-09-22,will,
Will/Word templates/DA.docx,Will Word: DA,30-product,longterm,2025-09-22,will,
Will/Word templates/DE.docx,Will Word: DE,30-product,longterm,2025-09-22,will,
Will/Word templates/FR.docx,Will Word: FR,30-product,longterm,2025-09-22,will,
Will/Word templates/SK.docx,Will Word: SK,30-product,longterm,2025-09-22,will,
Will/Word templates/will_ceska.docx,Will Word: will_ceska,30-product,longterm,2025-09-22,will,
Will/Word templates/will_slovenska.docx,Will Word: will_slovenska,30-product,longterm,2025-09-22,will,
Will/wizard/real-time-compliance.md,Real-time compliance checks,30-product,longterm,2025-09-22,will,
_autodoc_context.txt,_autodoc_context,30-product,longterm,2025-09-22,,
adr/ADR-001-supabase-auth-identity.md,ADR-001: Supabase Auth as Identity Source,10-strategy,longterm,2025-09-22,adr,
adr/ADR-002-observability-no-sentry.md,ADR-002: Observability Without Sentry,10-strategy,longterm,2025-09-22,adr,
adr/ADR-003-env-multidomain-redirects.md,ADR-003: Env-Driven Multi-Domain Redirects,10-strategy,longterm,2025-09-22,adr,
api.md,API Documentation,30-product,longterm,2025-09-22,,
api/overview.md,API Overview (Schwalbe),40-platform,longterm,2025-09-22,platform,
architecture/monorepo-implementation-summary.md,LegacyGuard Monorepo Implementation Summary,60-status,status,2025-09-22,status,
architecture/overview.md,Architecture Overview (Schwalbe),30-product,longterm,2025-09-22,,
audit/codebase-audit-report.md,Schwalbe Codebase Comprehensive Audit Report,30-product,longterm,2025-09-22,,
checklists/rebuild-checklist.md,Rebuild Checklist (Schwalbe),30-product,longterm,2025-09-22,,
ci/examples/github-workflow-snippet.md,GitHub Actions Snippet: Banned Pattern Guard,50-ops,longterm,2025-09-22,ops,
contributing/contributing.md,Contributing – Implementation Kickoff Prompt (SEATBELT: ON),30-product,longterm,2025-09-22,,
contributing/definition-of-ready.md,Definition of Ready (DoR),30-product,longterm,2025-09-22,,
contributing/implementation-prompts.md,Implementation Kickoff Prompts by Spec (SEATBELT: ON),30-product,longterm,2025-09-22,,
contributing/implementation/01-preflight-and-rules.md,Phase 01 – Preflight & Global Rules,30-product,longterm,2025-09-22,,
contributing/implementation/02-branching-and-commits.md,Phase 02 – Mainline Commit Conventions,30-product,longterm,2025-09-22,,
contributing/implementation/03-i18n-34-baseline.md,Phase 03 – i18n Baseline: 34 Languages (Matrix Enforcement),30-product,longterm,2025-09-22,,
contributing/implementation/04-topbar-and-language-detect.md,TopBar and Language Detection Integration,30-product,longterm,2025-09-22,,
contributing/implementation/05-redirect-gating.md,Phase 05 – Redirect Gating by VITE_IS_PRODUCTION,30-product,longterm,2025-09-22,,
contributing/implementation/06-logging-and-alerts.md,Phase 06 – Supabase Logging and Alerts (Replace Sentry),30-product,longterm,2025-09-22,,
contributing/implementation/07-privacy-search-index.md,Phase 07 – Privacy-Preserving Search Index (Hashed + Salted),30-product,longterm,2025-09-22,,
contributing/implementation/08-identity-rls.md,Phase 08 – Identity & RLS (Clerk) Guardrails,30-product,longterm,2025-09-22,,
contributing/implementation/09-will-engine.md,"Phase 09 – Will Generation Engine (Country Frameworks, Dynamic Clauses)",30-product,longterm,2025-09-22,,
contributing/implementation/10-will-wizard.md,Phase 10 – Guided Will Creation Wizard & Validations,30-product,longterm,2025-09-22,,
contributing/implementation/11-real-time-compliance.md,Phase 11 – Real-time Legal Compliance,30-product,longterm,2025-09-22,,
contributing/implementation/12-output-generation.md,"Phase 12 – Output Generation (PDF, Handwriting, Notarization Checklists)",30-product,longterm,2025-09-22,,
contributing/implementation/13-auto-updates.md,"Phase 13 – Automatic Will Updates (Sync, Logic, Versioning, Notifications)",30-product,longterm,2025-09-22,,
contributing/implementation/14-assets-impl.md,Asset Tracking Core,30-product,longterm,2025-09-22,,
contributing/implementation/14-assets.md,"Phase 14 – Asset Tracking (Models, Dashboard, Templates)",30-product,longterm,2025-09-22,,
contributing/implementation/15-sharing.md,"Phase 15 – Sharing (Secure Links, Passwords, Viewer, Audit)",30-product,longterm,2025-09-22,,
contributing/implementation/16-reminders.md,"Phase 16 – Backup Reminders (Scheduling, Triggers, Channels, Analytics)",30-product,longterm,2025-09-22,,
contributing/implementation/17-documents-ocr.md,"Phase 17 – Documents & OCR (Upload, Categorization, Expiry)",30-product,longterm,2025-09-22,,
contributing/implementation/18-subscriptions.md,"Phase 18 – Subscriptions Tracking (Metadata, Dashboard, Notifications)",30-product,longterm,2025-09-22,,
contributing/implementation/19-country-configs.md,"Phase 19 – Country Configurations (Domains, Currencies, Legal Data)",30-product,longterm,2025-09-22,,
contributing/implementation/20-language-rules.md,Phase 20 – Language Rules (Replacements/Removals; ≥4 per country),30-product,longterm,2025-09-22,,
contributing/implementation/21-search-ui.md,"Phase 21 – Search UI (Top Bar, Debounced, Privacy-Aligned)",30-product,longterm,2025-09-22,,
contributing/implementation/22-a11y-i18n-qa.md,Phase 22 – A11y & i18n QA Suite,30-product,longterm,2025-09-22,,
contributing/implementation/23-privacy-security.md,Phase 23 – Privacy & Security Checklist,30-product,longterm,2025-09-22,,
contributing/implementation/24-telemetry-alerting.md,Phase 24 – Telemetry & Alerting (Operational Runbook),30-product,longterm,2025-09-22,,
contributing/implementation/25-release-qa-ops.md,"Phase 25 – Release, QA & Ops Playbook",30-product,longterm,2025-09-22,,
contributing/implementation/26-mcp-prompting-guide.md,Phase 26 – MCP Prompting Guide (Warp),30-product,longterm,2025-09-22,,
contributing/implementation/27-stripe-billing.md,Phase 27 – Stripe Billing + Webhooks + Gating,40-platform,longterm,2025-09-22,"stripe,payments",
contributing/implementation/28-legal-compliance.md,Phase 28 – Legal/Compliance Pages + Consent Tracking + Cookie Banner,30-product,longterm,2025-09-22,,
contributing/implementation/29-prod-env-runbook.md,Phase 29 – Production Env/DNS/Robots/Secrets + Runbook,30-product,longterm,2025-09-22,,
contributing/implementation/30-e2e-money-path.md,Phase 30 – E2E Money‑Path Smoke Tests,30-product,longterm,2025-09-22,,
contributing/implementation/31-dunning-and-portal.md,Phase 31 – Dunning + Email Flows + Billing Portal UX,30-product,longterm,2025-09-22,,
contributing/implementation/32-stripe-tax-invoicing.md,"Phase 32 – Stripe Tax, Invoicing & Billing Localization (CZ/SK)",40-platform,longterm,2025-09-22,"stripe,payments",
contributing/implementation/33-webhook-hardening.md,"Phase 33 – Webhook Reliability, Idempotency & Alerting",30-product,longterm,2025-09-22,,
contributing/implementation/34-billing-policy.md,Phase 34 – Refund/Cancel/Trial Policy + UI Messaging,30-product,longterm,2025-09-22,,
contributing/implementation/35-gdpr-minimum.md,Phase 35 – GDPR Minimum (Delete/Export Data) + Privacy Hygiene,30-product,longterm,2025-09-22,,
contributing/implementation/36-support-contact-email.md,"Phase 36 – Support, Contact & Email Posture (SPF/DKIM/DMARC)",30-product,longterm,2025-09-22,,
deployment/cicd.md,CI Guards,50-ops,longterm,2025-09-22,ops,
deployment/environment-setup.md,Vercel Environment Variables Setup for LegacyGuard,50-ops,longterm,2025-09-22,ops,
deployment/strategy.md,Deployment Strategy (Schwalbe),50-ops,longterm,2025-09-22,ops,
development/contributing-guidelines.md,Coding Conventions,30-product,longterm,2025-09-22,,
development/getting-started.md,"Implementation Playbook (Phased, Prompt-Driven)",30-product,longterm,2025-09-22,,
domain/redirect-strategy.md,Domain Redirect Strategy (Schwalbe),10-strategy,longterm,2025-09-22,strategy,
env/environment-variables.md,Environment Variables (Schwalbe),30-product,longterm,2025-09-22,,
env/secrets-and-env-variables.md,Environment Variables & Secrets,30-product,longterm,2025-09-22,,
feature/reminders.md,"Backup Reminders – Engine, UI, Scheduling",30-product,longterm,2025-09-22,feature,
feature/subscriptions.md,Subscriptions Tracking,30-product,longterm,2025-09-22,feature,
feature_specs/README.md,Auto-generated Feature Specs,30-product,longterm,2025-09-22,feature,
feature_specs/agent_prompt.txt,agent_prompt,30-product,longterm,2025-09-22,feature,
feature_specs/sharing-core-impl.md,"Sharing Core Implementation (links, passwords, viewer, audit)",30-product,longterm,2025-09-22,feature,
features/documents-ocr-data-model.md,Documents & OCR – Data Model Addendum,30-product,longterm,2025-09-22,feature,
features/documents-ocr-quickstart.md,Documents & OCR – Quickstart,30-product,longterm,2025-09-22,feature,
features/security-privacy-checklist-documents-ocr.md,Security & Privacy Checklist – Documents & OCR,30-product,longterm,2025-09-22,feature,
features/topbar-search-ui.md,Top Bar Search UI (Hashed Index),30-product,longterm,2025-09-22,feature,
gdpr.md,GDPR minimum – delete/export + privacy hygiene,30-product,longterm,2025-09-22,,
high-level-plan.md,Schwalbe — High‑Level Implementation Plan,10-strategy,longterm,2025-09-22,strategy,
hollywood-archive/FAMILY_SHIELD_MESSAGING.md,Family Shield Messaging Framework,90-archive,archive,,legacy,
hollywood-archive/LANDING_PAGE.md,LegacyGuard Landing Page Documentation,90-archive,archive,,legacy,
hollywood-archive/SOFIA_AI_SYSTEM.md,Sofia AI - Guided Dialog System,90-archive,archive,,legacy,
hollywood-archive/TIME_CAPSULE_DOCUMENTATION.md,Time Capsule System Documentation,90-archive,archive,,legacy,
hollywood-archive/empathy-maintenance.md,Maintaining Empathetic UX Guide,90-archive,archive,,legacy,
hollywood-archive/privacy-first.md,Privacy-first architecture – local processing & transparency,90-archive,archive,,legacy,
hollywood-migration-implementation-status.md,Hollywood Migration Implementation Status,90-archive,archive,,legacy,
hollywood-migration-plan.md,Hollywood → Schwalbe Migration Plan (Consolidated),90-archive,archive,,legacy,
i18n-governance.md,Internationalization (i18n) Governance,30-product,longterm,2025-09-22,,
"i18n/LANGUAGE MATRIX PER DOMAIN (39 COUNTRIES, 34 LANGUAGES).md","LANGUAGE MATRIX PER DOMAIN (39 COUNTRIES, 34 LANGUAGES)",30-product,longterm,2025-09-22,i18n,
i18n/TARGET MARKETS (39 countries with dedicated domains).md,TARGET MARKETS (39 countries with dedicated domains),30-product,longterm,2025-09-22,i18n,
i18n/domains-and-languages.md,Domains and Languages Plan,30-product,longterm,2025-09-22,i18n,
i18n/matrix.md,Schwalbe i18n Matrix (Source of Truth),30-product,longterm,2025-09-22,i18n,
i18n/qa-checklist.md,Per-country QA Checklist (39 domains),30-product,longterm,2025-09-22,i18n,
i18n/strategy.md,Internationalization Strategy (Schwalbe),10-strategy,longterm,2025-09-22,strategy,
implementation-gaps-todo.md,LegacyGuard Implementation Gaps - TODO List,60-status,status,2025-09-22,status,
implementation-progress.md,Schwalbe Implementation Progress Report,60-status,status,2025-09-22,status,
implementation-summary.md,Schwalbe Implementation Summary,60-status,status,2025-09-22,status,
implementation-todo.md,Schwalbe — Implementation To‑Do Tracker,60-status,status,2025-09-22,status,
implementation/auto-will-updates.md,Automatic Will Updates,30-product,longterm,2025-09-22,,
implementation/monorepo-consolidation-plan.md,Monorepo Consolidation and Migration Plan (with Web Build Fix),10-strategy,longterm,2025-09-22,strategy,
legacyguard-complete-product.md,LegacyGuard - Produktový Manuál,30-product,longterm,2025-09-22,,
legacyguard-web-redesign-plan.md,LegacyGuard Web Application - Comprehensive Redesign Plan,10-strategy,longterm,2025-09-22,strategy,
legacyguard-web-redesign-todo-list.md,LegacyGuard Web Application Redesign - Comprehensive Implementation Plan,30-product,longterm,2025-09-22,,
mobile-emotional-sync-implementation-checklist.md,LegacyGuard Mobile Emotional Sync - Implementation Checklist,30-product,longterm,2025-09-22,,
observability-and-email-notes.md,Sentry is not used. We rely on Supabase error_log and alert tables.,30-product,longterm,2025-09-22,,
observability/alerting-resend.md,Alerting (Resend),40-platform,longterm,2025-09-22,platform,
observability/baseline.md,Observability Baseline: Telemetry & Alerting Runbook,40-platform,longterm,2025-09-22,platform,
observability/enhanced-observability-guide.md,Enhanced Observability with Alert Rate Limiting,40-platform,longterm,2025-09-22,platform,
observability/logging-standards.md,Logging Standards (Supabase logs),40-platform,longterm,2025-09-22,platform,
open-questions.md,Open Questions (to avoid mistakes),30-product,longterm,2025-09-22,,
ops/env/README.md,Environment & Secrets Management (MVP → Production),50-ops,longterm,2025-09-22,ops,
ops/migrations/runbook-auth-baseline.md,Runbook: Auth Baseline Migrations,50-ops,longterm,2025-09-22,ops,
phase-2E.4-professional-adoption-plan.md,Phase 2E.4 – Hollywood Professional Network Adoption Plan,60-status,status,2025-09-22,status,
phase-2F-animations-plan.md,Phase 2F – Animation System and Micro-interactions Migration Plan,60-status,status,2025-09-22,status,
phase-2G-time-capsule-plan.md,Phase 2G – Time Capsule & Legacy Features Migration Plan,60-status,status,2025-09-22,status,
phase-3-business-and-journeys.md,Phase 3 – Business Philosophy & Customer Journey Maps,60-status,status,2025-09-22,status,
phase-4-pricing-and-funnels.md,Phase 4 – Pricing Psychology & Conversion Funnels Migration Plan,60-status,status,2025-09-22,status,
phase-8-nextjs-migration-status.md,Phase 8: Next.js App Router Migration Status,60-status,status,2025-09-22,status,
platform/technology-decisions.md,Technology Decisions (Schwalbe),40-platform,longterm,2025-09-22,platform,
production-readiness-plan.md,LegacyGuard Production Readiness Plan,10-strategy,longterm,2025-09-22,strategy,
qa/a11y-i18n-qa-report.md,A11y & i18n QA Report (initial),50-ops,longterm,2025-09-22,ops,
qa/release-playbook.md,Release & QA Playbook,50-ops,longterm,2025-09-22,ops,
release/cutover-plan-auth-rls.md,Cutover Plan: Auth + RLS Baseline,50-ops,longterm,2025-09-22,ops,
release/incident-checklist.md,Incident Checklist,50-ops,longterm,2025-09-22,ops,
release/release-checklist.md,Release Checklist,50-ops,longterm,2025-09-22,ops,
runbooks/rollback-hotfix.md,Rollback & Hotfix Runbook,50-ops,longterm,2025-09-22,ops,
